case_id,blocker_type,company,symbol,effective_date,required period,required fields,free sources checked,reason unresolved,minimum paid evidence needed
paid-96bc4adf626bdca7,MISSING_INITIAL_ANCHOR,,,2012-01-02,2012-01-02,"A complete authoritative CNX/NIFTY-200 membership list effective on or before 2012-01-02, or a complete first-party event chain proving it.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-cfef78f9d6491d48,MONTHLY_SNAPSHOT_MISSING,,,2012-01-01,2012-01-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-3e644d9de7031371,MONTHLY_SNAPSHOT_MISSING,,,2012-02-01,2012-02-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-2a0181dfe3fec07d,MONTHLY_SNAPSHOT_MISSING,,,2012-03-01,2012-03-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-5ec8f0a8d0e309ff,MONTHLY_SNAPSHOT_MISSING,,,2012-04-01,2012-04-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-24e473fdb484157e,SOURCE_DOWNLOAD_FAILURE,,,2012-05-01,2012-05-01,Valid archive bytes or a verified Wayback copy of the official source.,official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-54e11c8a332e439c,MONTHLY_SNAPSHOT_MISSING,,,2012-06-01,2012-06-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-26fd3b6de72e8f68,MONTHLY_SNAPSHOT_MISSING,,,2012-07-01,2012-07-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-0cf759c4013476d5,MONTHLY_SNAPSHOT_MISSING,,,2012-08-01,2012-08-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
paid-e8dfe1ea5745787d,MONTHLY_SNAPSHOT_MISSING,,,2012-09-01,2012-09-01,"An official dated checkpoint for the affected month, or an official methodology/exception document explaining the gap.",official Nifty Indices press releases and monthly reports; official NSE historical security masters and change notices; exact symbol/ISIN joins; Wayback copies of official URLs; no fuzzy or paid source used,No exact free A1/A2 evidence was found; B1/fuzzy/current-only evidence cannot be promoted.,Licensed historical exchange/index archive or official response containing the exact requested membership/event/identity fields.
